True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,3.3268485137879704,3.2643409560361096,2.2128244818322114
43241.87,2.0,127200,3.43,0.17260024785765354,0.1694737318902903,0.11235602893454578
43241.87,2.0,127200,3.43,0.4502466235052151,0.44161811780679855,0.29058278652118924
43241.87,2.0,127200,3.43,0.5037086454352715,0.4939332075753878,0.3268655796418181
43241.87,2.0,127200,3.43,3.938073794256384,3.8854497065108866,2.643802815195521
43241.87,2.0,127200,3.43,4.42780951147841,4.34597858157897,3.0274063004134373
43241.87,2.0,127200,3.43,4.688181253326136,4.605681981868004,3.119675507090969
43241.87,2.0,127200,3.43,4.679743389858256,4.599852636264414,2.9565529568157274
43241.87,2.0,127200,3.43,4.152393904222051,4.08992556624163,2.9020238724133502
43241.87,2.0,127200,3.43,4.3983132023481915,4.324787340142039,2.9058192931525006
43241.87,2.0,127200,3.43,5.50572272832788,5.410096907298094,3.6979026920285545
43241.87,2.0,127200,3.43,5.2124194018011405,5.126814437836378,3.423343263251279
43241.87,2.0,127200,3.43,4.058927579908129,3.9780903900283584,2.5985446700152908
43241.87,2.0,127200,3.43,5.229487888189269,5.112968415536107,3.5097247812786496
43241.87,2.0,127200,3.43,4.345279889652502,4.257731017756678,2.688792446041828
43241.87,2.0,127200,3.43,4.716777844191145,4.6448858370875685,3.175621906131749
43241.87,2.0,127200,3.43,5.732982974851909,5.63312625179297,3.7877373463848856
43241.87,2.0,127200,3.43,4.374512503735991,4.29921918731741,2.8711005395146048
43241.87,2.0,127200,3.43,4.316586870416358,4.232260610781126,2.9367892168833287
43241.87,2.0,127200,3.43,4.767367995444496,4.695411057847784,3.146495933705227
43241.87,2.0,127200,3.43,6.028178273087421,5.875975873697038,3.955606480592658
43241.87,2.0,127200,3.43,5.942798077758004,5.837687458277698,3.88101030377007
43241.87,2.0,127200,3.43,4.649853125185503,4.5922262422855225,3.1068059033730004
43241.87,2.0,127200,3.43,5.64068732122567,5.536721292616395,3.592445883156926
43241.87,2.0,127200,3.43,3.85094912156503,3.7686559336172505,2.586181357310278
43241.87,2.0,127200,3.43,4.564458458184601,4.484907225998994,3.0296305954450595
43241.87,2.0,127200,3.43,5.7600803794276185,5.636585168863498,3.814691606634012
43241.87,2.0,127200,3.43,4.5363335392826825,4.437914378562387,2.9217631121095318
43241.87,2.0,127200,3.43,4.85293412830562,4.788664174769963,3.179147437404176
43241.87,2.0,127200,3.43,5.253806555660671,5.149399847502722,3.362551041885445
43241.87,2.0,127200,3.43,5.932108531394192,5.832209865635223,3.8742115285409353
43241.87,2.0,127200,3.43,4.936539523537977,4.847768869634312,3.30761015714176
43241.87,2.0,127200,3.43,4.047292520687275,3.976113699873068,2.6586772350513073
43241.87,2.0,127200,3.43,3.8947537986844036,3.80699920999724,2.4998302588596695
43241.87,2.0,127200,3.43,4.457248930070845,4.386722054075139,2.992208723771241
43241.87,2.0,127200,3.43,5.033390955691866,4.960213366648264,3.407685762226231
43241.87,2.0,127200,3.43,3.3348422536167397,3.264279993331141,2.0723462075301327
43241.87,2.0,127200,3.43,7.661449832747567,7.457615595274724,4.787324290259921
43241.87,2.0,127200,3.43,9.17068800514708,9.008846711666443,6.228322056213752
43241.87,2.0,127200,3.43,7.783729001547114,7.651940652467538,5.194434276881535
43241.87,2.0,127200,3.43,8.89630366756205,8.740941159318504,6.15391632981453
43241.87,2.0,127200,3.43,8.59272447570084,8.416858249989188,5.589190601510542
43241.87,2.0,127200,3.43,6.119409915540167,6.034784786571252,4.007056919587183
43241.87,2.0,127200,3.43,9.202490771294398,9.051542806975824,6.057045423723447
43241.87,2.0,127200,3.43,8.708751858985133,8.5588886560723,5.600737073948338
43241.87,2.0,127200,3.43,7.756599472928511,7.628066264511674,4.981462924402532
43241.87,2.0,127200,3.43,7.034859192038396,6.877581447423329,4.727982882695627
43241.87,2.0,127200,3.43,7.721921471038906,7.546296035380347,5.047996450783039
43241.87,2.0,127200,3.43,8.549257396575253,8.340794285309443,5.752652496526047
