True_M_U,True_M_S_M_U_Ratio,Input_M_U,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
52.0,4.0,28,7.429,5.2124194018011405,5.126814437836378,6.775790783910664
52.0,4.0,28,7.429,4.058927579908129,3.9780903900283584,5.161577512803193
52.0,4.0,28,7.429,5.229487888189269,5.112968415536107,6.716880018823419
52.0,4.0,28,7.429,4.345279889652502,4.257731017756678,5.595200134568806
52.0,4.0,28,7.429,4.716777844191145,4.6448858370875685,5.972490340711174
52.0,4.0,28,7.429,5.732982974851909,5.63312625179297,7.40088673272157
52.0,4.0,28,7.429,4.374512503735991,4.29921918731741,5.550559173973608
52.0,4.0,28,7.429,4.316586870416358,4.232260610781126,5.475745161253949
52.0,4.0,28,7.429,4.767367995444496,4.695411057847784,6.172843309393299
52.0,4.0,28,7.429,6.028178273087421,5.875975873697038,7.731255251633825
52.0,4.0,28,7.429,5.942798077758004,5.837687458277698,7.5972396155450435
52.0,4.0,28,7.429,4.649853125185503,4.5922262422855225,5.9682417658805225
52.0,4.0,28,7.429,5.64068732122567,5.536721292616395,7.236396739342746
52.0,4.0,28,7.429,3.85094912156503,3.7686559336172505,4.732719154612739
52.0,4.0,28,7.429,4.564458458184601,4.484907225998994,5.9110693580642515
52.0,4.0,28,7.429,5.7600803794276185,5.636585168863498,7.325241727032973
52.0,4.0,28,7.429,4.5363335392826825,4.437914378562387,5.773326052135475
52.0,4.0,28,7.429,4.85293412830562,4.788664174769963,6.035689894451344
52.0,4.0,28,7.429,5.253806555660671,5.149399847502722,6.7165079012286295
52.0,4.0,28,7.429,5.932108531394192,5.832209865635223,7.8773248996549565
52.0,4.0,28,7.429,4.936539523537977,4.847768869634312,6.459954424619816
52.0,4.0,28,7.429,4.047292520687275,3.976113699873068,5.182933896960677
52.0,4.0,28,7.429,3.8947537986844036,3.80699920999724,4.961309120642801
52.0,4.0,28,7.429,4.457248930070845,4.386722054075139,5.738284917874651
52.0,4.0,28,7.429,5.033390955691866,4.960213366648264,6.359383261743612
52.0,4.0,28,7.429,3.3348422536167397,3.264279993331141,4.204137729164489
52.0,4.0,28,7.429,7.661449832747567,7.457615595274724,9.75759041932874
52.0,4.0,28,7.429,9.17068800514708,9.008846711666443,11.704745259390616
