True_C_S,True_Xi,Input_C_X,Input_Xi,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
394.536,0.1,1300,0.33,1.4984385497408048,1.4550027372034886,1.2036149800849454
394.536,0.1,1300,0.33,2.279540585967038,2.227291321603689,1.498709551558178
394.536,0.1,1300,0.33,1.6751391673259255,1.6349042556717217,1.1093744584187335
394.536,0.1,1300,0.33,1.2569876578833425,1.2314123324805029,0.8928050344193008
394.536,0.1,1300,0.33,2.049177959953141,2.0193023005019746,1.3015270709143256
394.536,0.1,1300,0.33,0.22517448138928273,0.21963194586961224,0.1514027568463168
394.536,0.1,1300,0.33,0.8396407156589245,0.8242963599700042,0.5663470609844459
394.536,0.1,1300,0.33,0.7834269668774204,0.7712399344825994,0.5265134208840695
394.536,0.1,1300,0.33,1.538985897603219,1.5109936405516318,1.0908236128662845
394.536,0.1,1300,0.33,1.5569655451304643,1.5218190719806806,1.0800736524502292
394.536,0.1,1300,0.33,1.7132709774525456,1.6775300851822446,1.1645857719340522
394.536,0.1,1300,0.33,2.2836228640326435,2.2288266959030407,1.7981958582740358
394.536,0.1,1300,0.33,2.5538988559897553,2.506932675650007,1.881747172872683
394.536,0.1,1300,0.33,2.1656770025793604,2.1082381907838164,1.5317151888437908
394.536,0.1,1300,0.33,1.2994428790136436,1.2740787442880042,0.9277016116682905
394.536,0.1,1300,0.33,2.48141198664964,2.4329507960875,1.7017835556411895
394.536,0.1,1300,0.33,1.757048918082585,1.729961921423838,1.204152779893588
394.536,0.1,1300,0.33,3.3600303242403626,3.292657224529586,2.2358977834546994
394.536,0.1,1300,0.33,2.794124300567109,2.7385941643368645,1.9726580230813664
394.536,0.1,1300,0.33,1.8004219910687032,1.7716263011886224,1.2188823000065638
394.536,0.1,1300,0.33,1.7726177489008184,1.7399688861531024,1.2173007623326386
394.536,0.1,1300,0.33,0.9605984242740598,0.9409273301762451,0.7318585425926699
394.536,0.1,1300,0.33,1.9962829356389846,1.9650373669933356,1.3567843374095798
394.536,0.1,1300,0.33,0.7146560471372335,0.7006613184570142,0.4961232558112763
394.536,0.1,1300,0.33,2.2854435644568847,2.2396069568484895,1.6561877727554506
394.536,0.1,1300,0.33,0.13996952352859857,0.13700349782975768,0.0984613724038106
394.536,0.1,1300,0.33,0.7770524763259953,0.7601794431475843,0.550362582356744
394.536,0.1,1300,0.33,3.746791562156421,3.68336709296,2.585337844285547
394.536,0.1,1300,0.33,3.101676435094694,3.0398925455102694,2.30325800366203
394.536,0.1,1300,0.33,3.3268485137879704,3.2643409560361096,2.3579603997419527
394.536,0.1,1300,0.33,0.17260024785765354,0.1694737318902903,0.11509013551134636
394.536,0.1,1300,0.33,0.4502466235052151,0.44161811780679855,0.33487149325693233
394.536,0.1,1300,0.33,0.5037086454352715,0.4939332075753878,0.35901255730679343
394.536,0.1,1300,0.33,3.938073794256384,3.8854497065108866,2.849309825026299
394.536,0.1,1300,0.33,4.42780951147841,4.34597858157897,3.199476848927739
394.536,0.1,1300,0.33,4.688181253326136,4.605681981868004,3.459280977666386
394.536,0.1,1300,0.33,4.679743389858256,4.599852636264414,3.2428241257292223
394.536,0.1,1300,0.33,4.152393904222051,4.08992556624163,3.0114922080893303
394.536,0.1,1300,0.33,4.3983132023481915,4.324787340142039,2.9260654782955746
394.536,0.1,1300,0.33,5.50572272832788,5.410096907298094,3.8275365043799483
394.536,0.1,1300,0.33,5.2124194018011405,5.126814437836378,3.755972297421074
394.536,0.1,1300,0.33,4.058927579908129,3.9780903900283584,2.9694550911297735
394.536,0.1,1300,0.33,5.229487888189269,5.112968415536107,3.8314869758928998
394.536,0.1,1300,0.33,4.345279889652502,4.257731017756678,3.139405079565079
394.536,0.1,1300,0.33,4.716777844191145,4.6448858370875685,3.1854913649010825
394.536,0.1,1300,0.33,5.732982974851909,5.63312625179297,4.067061622756911
394.536,0.1,1300,0.33,4.374512503735991,4.29921918731741,3.096149464376787
394.536,0.1,1300,0.33,4.316586870416358,4.232260610781126,3.2756090325243568
394.536,0.1,1300,0.33,4.767367995444496,4.695411057847784,3.3993588330414632
394.536,0.1,1300,0.33,6.028178273087421,5.875975873697038,4.291732687426937
394.536,0.1,1300,0.33,5.942798077758004,5.837687458277698,4.055401469405509
394.536,0.1,1300,0.33,4.649853125185503,4.5922262422855225,3.429011191626261
394.536,0.1,1300,0.33,5.64068732122567,5.536721292616395,3.803472110650522
394.536,0.1,1300,0.33,3.85094912156503,3.7686559336172505,2.9575990378540475
394.536,0.1,1300,0.33,4.564458458184601,4.484907225998994,2.9361374640615354
394.536,0.1,1300,0.33,5.7600803794276185,5.636585168863498,4.145431320960086
394.536,0.1,1300,0.33,4.5363335392826825,4.437914378562387,3.3588788075759144
394.536,0.1,1300,0.33,4.85293412830562,4.788664174769963,3.3542977179491094
394.536,0.1,1300,0.33,5.253806555660671,5.149399847502722,3.7425987643598555
394.536,0.1,1300,0.33,5.932108531394192,5.832209865635223,3.7105199374957647
394.536,0.1,1300,0.33,4.936539523537977,4.847768869634312,3.4845448279265168
394.536,0.1,1300,0.33,4.047292520687275,3.976113699873068,2.722827113764601
394.536,0.1,1300,0.33,3.8947537986844036,3.80699920999724,2.843675432844052
394.536,0.1,1300,0.33,4.457248930070845,4.386722054075139,3.0663395827989497
394.536,0.1,1300,0.33,5.033390955691866,4.960213366648264,3.4757515515531567
394.536,0.1,1300,0.33,3.3348422536167397,3.264279993331141,2.325967970857728
394.536,0.1,1300,0.33,7.661449832747567,7.457615595274724,5.118125573169443
394.536,0.1,1300,0.33,9.17068800514708,9.008846711666443,6.291863469397325
394.536,0.1,1300,0.33,7.783729001547114,7.651940652467538,5.610207623147777
394.536,0.1,1300,0.33,8.89630366756205,8.740941159318504,6.697180327293561
394.536,0.1,1300,0.33,8.59272447570084,8.416858249989188,5.742950226267574
394.536,0.1,1300,0.33,6.119409915540167,6.034784786571252,4.055565136302123
394.536,0.1,1300,0.33,9.202490771294398,9.051542806975824,5.9691138337665555
394.536,0.1,1300,0.33,8.708751858985133,8.5588886560723,6.993448285371559
394.536,0.1,1300,0.33,7.756599472928511,7.628066264511674,5.197471734046192
394.536,0.1,1300,0.33,7.034859192038396,6.877581447423329,5.22522487339688
394.536,0.1,1300,0.33,7.721921471038906,7.546296035380347,4.983640235556532
394.536,0.1,1300,0.33,8.549257396575253,8.340794285309443,6.442830515592898
394.536,0.1,1300,0.33,8.976005853554874,8.795106517216446,6.370645814254424
394.536,0.1,1300,0.33,8.077949204654352,7.9250191102114655,5.248381883821772
394.536,0.1,1300,0.33,8.828930897974965,8.662819927796216,6.322822153611836
394.536,0.1,1300,0.33,8.489550366144636,8.305872170955976,6.029675674536367
394.536,0.1,1300,0.33,8.075969292713214,7.89581257349522,5.082608725453923
394.536,0.1,1300,0.33,7.9076031330728425,7.741881750661067,5.630551975462429
394.536,0.1,1300,0.33,8.003751348359506,7.820197858439646,5.993535998786694
394.536,0.1,1300,0.33,8.11506501421495,7.93650918093272,6.101925113871551
394.536,0.1,1300,0.33,7.115621411705112,6.96414678494574,5.713616752323796
394.536,0.1,1300,0.33,6.875847858874166,6.781330670515654,5.013878366260512
394.536,0.1,1300,0.33,7.41219230002382,7.284370892751463,5.527345488574505
394.536,0.1,1300,0.33,8.551820827782509,8.381843057323582,6.630510345072995
394.536,0.1,1300,0.33,7.570049663959958,7.444494318609974,5.418220176779793
394.536,0.1,1300,0.33,7.071235108418641,6.936910276896123,5.030353866000456
394.536,0.1,1300,0.33,9.473282011385349,9.264737460416987,6.264904168552647
394.536,0.1,1300,0.33,6.693958347551518,6.554307086924314,5.133715815701288
394.536,0.1,1300,0.33,7.378930348965102,7.2556508320289,5.495739043783087
394.536,0.1,1300,0.33,7.6136050657021554,7.48646254732918,5.878798206609167
394.536,0.1,1300,0.33,7.295109892985118,7.197467997814282,5.324082577941736
394.536,0.1,1300,0.33,8.125610664303052,8.010878933911316,6.195535368705252
394.536,0.1,1300,0.33,8.110604637190185,7.947489993105281,5.734506508391998
394.536,0.1,1300,0.33,8.018554292995736,7.888826293450631,5.608131414591613
