True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,0.7770524763259953,0.7601794431475843,2.1872853602328464
84.0,3.0,208,7.429,3.746791562156421,3.68336709296,10.680465905291726
84.0,3.0,208,7.429,3.101676435094694,3.0398925455102694,8.989870176876071
84.0,3.0,208,7.429,3.3268485137879704,3.2643409560361096,9.405245199218697
84.0,3.0,208,7.429,0.17260024785765354,0.1694737318902903,0.49911098498549866
84.0,3.0,208,7.429,0.4502466235052151,0.44161811780679855,1.3016069662436132
84.0,3.0,208,7.429,0.5037086454352715,0.4939332075753878,1.4385210665726897
84.0,3.0,208,7.429,3.938073794256384,3.8854497065108866,11.043691666423438
84.0,3.0,208,7.429,4.42780951147841,4.34597858157897,12.492180335726156
84.0,3.0,208,7.429,4.688181253326136,4.605681981868004,13.304503845915162
84.0,3.0,208,7.429,4.679743389858256,4.599852636264414,13.662790577666257
84.0,3.0,208,7.429,4.152393904222051,4.08992556624163,11.699278916584914
84.0,3.0,208,7.429,4.3983132023481915,4.324787340142039,12.610101668121146
84.0,3.0,208,7.429,5.50572272832788,5.410096907298094,15.763174191966698
84.0,3.0,208,7.429,5.2124194018011405,5.126814437836378,14.6340244990322
84.0,3.0,208,7.429,4.058927579908129,3.9780903900283584,11.377077623401114
84.0,3.0,208,7.429,5.229487888189269,5.112968415536107,14.731528698928566
84.0,3.0,208,7.429,4.345279889652502,4.257731017756678,12.665633695354447
84.0,3.0,208,7.429,4.716777844191145,4.6448858370875685,13.615595595323443
84.0,3.0,208,7.429,5.732982974851909,5.63312625179297,16.260449839523943
84.0,3.0,208,7.429,4.374512503735991,4.29921918731741,12.66747331912993
84.0,3.0,208,7.429,4.316586870416358,4.232260610781126,12.312623902218212
84.0,3.0,208,7.429,4.767367995444496,4.695411057847784,13.765095591713044
84.0,3.0,208,7.429,6.028178273087421,5.875975873697038,17.23803971315422
84.0,3.0,208,7.429,5.942798077758004,5.837687458277698,16.782094397141545
84.0,3.0,208,7.429,4.649853125185503,4.5922262422855225,13.370307725917533
84.0,3.0,208,7.429,5.64068732122567,5.536721292616395,16.22350938694918
84.0,3.0,208,7.429,3.85094912156503,3.7686559336172505,10.947219461338586
84.0,3.0,208,7.429,4.564458458184601,4.484907225998994,13.023408590389156
84.0,3.0,208,7.429,5.7600803794276185,5.636585168863498,16.345843973778944
84.0,3.0,208,7.429,4.5363335392826825,4.437914378562387,12.639061959795585
84.0,3.0,208,7.429,4.85293412830562,4.788664174769963,14.100738911439924
84.0,3.0,208,7.429,5.253806555660671,5.149399847502722,15.14927182884714
84.0,3.0,208,7.429,5.932108531394192,5.832209865635223,16.883683388743933
84.0,3.0,208,7.429,4.936539523537977,4.847768869634312,14.230664415237154
84.0,3.0,208,7.429,4.047292520687275,3.976113699873068,11.642141609156202
