True_K_S,True_K_S_Ratio,Input_K_S,Input_K_S_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
3212.253,0.2,18709,0.483,1.4984385497408048,1.4550027372034886,1.5598752115263816
3212.253,0.2,18709,0.483,2.279540585967038,2.227291321603689,2.4262233352682427
3212.253,0.2,18709,0.483,1.6751391673259255,1.6349042556717217,1.8355336273613836
3212.253,0.2,18709,0.483,1.2569876578833425,1.2314123324805029,1.3379161736573355
3212.253,0.2,18709,0.483,2.049177959953141,2.0193023005019746,2.131131214041443
3212.253,0.2,18709,0.483,0.22517448138928273,0.21963194586961224,0.23875267373464454
3212.253,0.2,18709,0.483,0.8396407156589245,0.8242963599700042,0.9013902071424237
3212.253,0.2,18709,0.483,0.7834269668774204,0.7712399344825994,0.8306339092398817
3212.253,0.2,18709,0.483,1.538985897603219,1.5109936405516318,1.6388450624731206
3212.253,0.2,18709,0.483,1.5569655451304643,1.5218190719806806,1.6905452678508888
3212.253,0.2,18709,0.483,1.7132709774525456,1.6775300851822446,1.862248511134363
3212.253,0.2,18709,0.483,2.2836228640326435,2.2288266959030407,2.433537713197098
3212.253,0.2,18709,0.483,2.5538988559897553,2.506932675650007,2.6484088646978345
3212.253,0.2,18709,0.483,2.1656770025793604,2.1082381907838164,2.317137341187315
3212.253,0.2,18709,0.483,1.2994428790136436,1.2740787442880042,1.3757936503166615
3212.253,0.2,18709,0.483,2.48141198664964,2.4329507960875,2.6252881482643837
3212.253,0.2,18709,0.483,1.757048918082585,1.729961921423838,1.8627553046465313
3212.253,0.2,18709,0.483,3.3600303242403626,3.292657224529586,3.502685393560784
3212.253,0.2,18709,0.483,2.794124300567109,2.7385941643368645,2.9716490427196796
3212.253,0.2,18709,0.483,1.8004219910687032,1.7716263011886224,1.8893058162319614
3212.253,0.2,18709,0.483,1.7726177489008184,1.7399688861531024,1.9181320108749746
3212.253,0.2,18709,0.483,0.9605984242740598,0.9409273301762451,1.0184084464009993
3212.253,0.2,18709,0.483,1.9962829356389846,1.9650373669933356,2.1093998761667865
3212.253,0.2,18709,0.483,0.7146560471372335,0.7006613184570142,0.7431504975337521
3212.253,0.2,18709,0.483,2.2854435644568847,2.2396069568484895,2.3735469115032295
3212.253,0.2,18709,0.483,0.13996952352859857,0.13700349782975768,0.15067214851874325
3212.253,0.2,18709,0.483,0.7770524763259953,0.7601794431475843,0.8024219736219661
3212.253,0.2,18709,0.483,3.746791562156421,3.68336709296,3.969008519016266
3212.253,0.2,18709,0.483,3.101676435094694,3.0398925455102694,3.3646801914727495
3212.253,0.2,18709,0.483,3.3268485137879704,3.2643409560361096,3.484872612352772
3212.253,0.2,18709,0.483,0.17260024785765354,0.1694737318902903,0.1845956149127656
3212.253,0.2,18709,0.483,0.4502466235052151,0.44161811780679855,0.4905729229335199
3212.253,0.2,18709,0.483,0.5037086454352715,0.4939332075753878,0.5410009195033806
3212.253,0.2,18709,0.483,3.938073794256384,3.8854497065108866,4.0717172440337555
3212.253,0.2,18709,0.483,4.42780951147841,4.34597858157897,4.536109216923919
3212.253,0.2,18709,0.483,4.688181253326136,4.605681981868004,4.930607580070785
3212.253,0.2,18709,0.483,4.679743389858256,4.599852636264414,5.135483390438414
3212.253,0.2,18709,0.483,4.152393904222051,4.08992556624163,4.2779531240678175
3212.253,0.2,18709,0.483,4.3983132023481915,4.324787340142039,4.541490791505568
3212.253,0.2,18709,0.483,5.50572272832788,5.410096907298094,5.7942902693272575
3212.253,0.2,18709,0.483,5.2124194018011405,5.126814437836378,5.502697465832637
3212.253,0.2,18709,0.483,4.058927579908129,3.9780903900283584,4.261280189407939
3212.253,0.2,18709,0.483,5.229487888189269,5.112968415536107,5.458673114597615
3212.253,0.2,18709,0.483,4.345279889652502,4.257731017756678,4.758572961072203
3212.253,0.2,18709,0.483,4.716777844191145,4.6448858370875685,4.960318918772007
3212.253,0.2,18709,0.483,5.732982974851909,5.63312625179297,6.053491695507233
3212.253,0.2,18709,0.483,4.374512503735991,4.29921918731741,4.634767552338593
3212.253,0.2,18709,0.483,4.316586870416358,4.232260610781126,4.537025263296688
3212.253,0.2,18709,0.483,4.767367995444496,4.695411057847784,5.02284866432072
