dx,id,iri,max,mean,min,range,var,vel
0.22669683257918555,B_3_17.0_0.30000000000000004_75.csv,4.821440320793416,1.2778951006900352,0.0005913029224318209,-1.9235633006483008,3.201458401338336,0.3117206234813965,17.0
0.16,A_8_32.0_0.1_200.csv,2.184438455756804,0.9059906101330388,0.006948100527057494,-1.201535373752789,2.107525983885828,0.13619352067593246,32.0
0.21364605543710025,C_5_32.0_0.30000000000000004_150.csv,8.966324404059122,4.225759395097796,0.006208756308564726,-4.802159744527182,9.027919139624977,2.286799351106668,32.0
0.17513134851138354,C_8_35.0_0.5_200.csv,8.261324695495599,3.704432388115158,0.027302277383288394,-4.1887261631960016,7.89315855131116,2.3170266621665765,35.0
0.2,C_6_35.0_0.1_175.csv,8.109238614126294,3.7911550710597903,0.022980874167649958,-4.296681218939448,8.087836289999238,2.2747640942507164,35.0
0.2801120448179272,A_3_35.0_0.1_125.csv,2.4675808631414107,1.0831342094421788,-0.003738566866553543,-1.0422644391126124,2.125398648554791,0.20923819876051764,35.0
0.08,A_6_14.0_0.4_175.csv,1.932215941727546,0.4873167944095349,0.0028924757899648204,-0.6428798732099051,1.13019666761944,0.03670601493807641,14.0
0.05335463258785944,B_0_8.0_0.30000000000000004_150.csv,5.296370574410284,4.2688267973992575,-0.0008502258471793844,-3.0257940296328263,7.294620827032084,0.1458647719981746,8.0
0.4,B_1_20.0_0.4_50.csv,5.1428144561278915,1.8473482951530509,0.006590432558162629,-1.4638662868607442,3.311214582013795,0.42633657465636243,20.0
0.16,A_5_20.0_0.4_125.csv,2.2320782716093235,0.7717312635685428,0.0006243304209589241,-0.7008280760839454,1.4725593396524883,0.07561245502372778,20.0
0.13157894736842105,B_9_23.0_0.4_175.csv,4.118273127170931,2.087891112102969,0.005075957692773007,-2.6724323443291853,4.760323456432154,0.39419894638576064,23.0
0.35034965034965043,C_2_35.0_0.30000000000000004_100.csv,7.945847558452193,8.696982049942063,0.046872398603247614,-4.3887701578855385,13.085752207827602,2.764910892555063,35.0
0.1934235976789168,B_2_29.0_0.1_150.csv,3.987771817029136,4.394135585998197,0.018695607750821627,-2.725869508485052,7.120005094483249,0.5965130249980918,29.0
0.4672897196261682,C_3_35.0_0.2_75.csv,10.051088671611888,3.77185193939703,-0.015704561643297508,-4.39925732662425,8.17110926602128,3.32746964131533,35.0
0.3472222222222222,C_2_26.0_0.5_75.csv,7.4926524529779375,7.8572988638274355,0.032220112212063785,-5.3272487019616195,13.184547565789055,1.812932944108569,26.0
0.10000000000000002,A_4_20.0_0.30000000000000004_200.csv,2.006598163719388,0.7046872238952196,-0.002542863867699147,-1.01961988459039,1.7243071084856099,0.06890466470706527,20.0
0.2604166666666667,A_1_26.0_0.2_100.csv,2.5718795388223104,1.1474318752945092,0.0047155396829440905,-0.9434172563477626,2.0908491316422717,0.14248390008405773,26.0
