File_Name,True_IRI,Pred_IRI,Pred_IRI_FILT
0,1.4983716715102182,1.1382591754007896,1.1382591754007896
1,2.2795344813643745,1.189752170320845,1.189752170320845
2,1.675147119919862,0.8487417476895776,0.8487417476895776
3,1.2569903104417486,0.786294324253044,0.786294324253044
4,2.0491106558937644,1.2307490702977952,1.2307490702977952
5,0.22517391879203696,0.13377237096213435,0.13377237096213435
6,0.8396412498065471,0.46294985743108125,0.46294985743108125
7,0.7834307838268021,0.45668858018039776,0.45668858018039776
8,1.5389033247011414,0.8804869062146843,0.8804869062146843
9,1.5569462240425187,0.8323794104803456,0.8323794104803456
10,1.7132750205928347,0.965149221309708,0.965149221309708
11,2.283615502486535,1.370407535887067,1.370407535887067
12,2.5539033454140663,1.7823238046219505,1.7823238046219505
13,2.165677505948158,1.2102503126335808,1.2102503126335808
14,1.2994439707599414,0.9015038001893553,0.9015038001893553
15,2.481417775010481,1.3675065586551403,1.3675065586551403
16,1.757055990264359,1.0486565117114985,1.0486565117114985
17,3.3599920547895765,2.2037639271440512,2.2037639271440512
18,2.7941382526420067,1.6699563520757263,1.6699563520757263
19,1.8004202118064359,1.196573530540147,1.196573530540147
20,1.7726108635741529,1.0131673038267022,1.0131673038267022
21,0.9605843335868922,0.7154085250881995,0.7154085250881995
22,1.9962540818195595,1.1188437822055348,1.1188437822055348
23,0.7146561236218877,0.46796107855024793,0.46796107855024793
24,2.2854273973856287,1.4537340741911284,1.4537340741911284
25,0.1399694789504362,0.0819522526359355,0.0819522526359355
26,0.7770518770690817,0.574571099166575,0.574571099166575
27,3.7467750539726614,2.0918485442973065,2.0918485442973065
28,3.101701976949587,1.9484966293870505,1.9484966293870505
29,3.3268609360151262,2.361498653741282,2.361498653741282
30,0.17259920934805678,0.106416082471047,0.106416082471047
31,0.45024722848107734,0.2751768110836246,0.2751768110836246
32,0.5037204096201551,0.29777905047576453,0.29777905047576453
33,3.9380648296669123,2.996056223028142,2.996056223028142
34,4.427813357301813,3.1409274101573637,3.1409274101573637
35,4.688157917117518,3.0538285340570477,3.0538285340570477
36,4.679760565185653,2.682993241595748,2.682993241595748
37,4.152542874621911,2.6120567621849777,2.6120567621849777
38,4.398303788475241,2.9746186878405876,2.9746186878405876
39,5.505706851681571,3.606277709554404,3.606277709554404
40,5.212432996492308,3.0870791684993355,3.0870791684993355
41,4.058962833312578,2.243495346553848,2.243495346553848
42,5.2294497972154925,3.5594199334766157,3.5594199334766157
43,4.345286562259151,2.3036920988887526,2.3036920988887526
44,4.716766016751313,3.1202890001753096,3.1202890001753096
45,5.7328959480891335,4.271340368959371,4.271340368959371
46,4.374509998778405,3.000484254544301,3.000484254544301
47,4.316529413386948,3.260631605920864,3.260631605920864
48,4.767381016883729,3.3391740577496756,3.3391740577496756
49,6.028003277231212,3.6998594449633346,3.6998594449633346
50,5.942767921455881,3.575690947638521,3.575690947638521
51,4.649576763091363,3.0194761040097307,3.0194761040097307
52,5.640333263763628,3.000437467188737,3.000437467188737
53,3.850925530973959,2.7320077184574147,2.7320077184574147
54,4.5647347960510585,2.6783371900488904,2.6783371900488904
55,5.760007986716972,3.6555245185522134,3.6555245185522134
56,4.536317334293567,2.628490320389134,2.628490320389134
57,4.852927384012244,2.7422333758590907,2.7422333758590907
58,5.253788916121164,3.8585846759864073,3.8585846759864073
59,5.932173349759215,3.2770173047577673,3.2770173047577673
60,4.936551779304856,2.8010316255762184,2.8010316255762184
61,4.0472886439979865,2.359033932829685,2.359033932829685
62,3.894691236709375,2.477757469406524,2.477757469406524
63,4.457255820137788,2.590329464885436,2.590329464885436
64,5.0333482074201825,3.4538325925394564,3.4538325925394564
65,3.3348694961879985,1.918688720260791,1.918688720260791
66,7.661425859010046,3.988115675233278,3.988115675233278
67,9.170761425318556,5.557751652151756,5.557751652151756
68,7.783349419310968,5.04831127592412,5.04831127592412
69,8.896316945272325,6.082552344686447,6.082552344686447
70,8.592876959397593,4.315282803656478,4.315282803656478
71,6.11940903996065,3.481741268661196,3.481741268661196
72,9.202328263576083,4.495556495308561,4.495556495308561
73,8.708666663618628,5.086650193499956,5.086650193499956
74,7.756458105441267,4.192498539048933,4.192498539048933
75,7.0348732851336715,4.779851383522472,4.779851383522472
76,7.72187636821281,4.637028536583204,4.637028536583204
77,8.549254031188989,5.590067341528896,5.590067341528896
78,8.975844953757022,4.908524921660722,4.908524921660722
79,8.077892595860671,4.848118587226523,4.848118587226523
80,8.828936680906715,5.09722514614669,5.09722514614669
81,8.489626806565123,4.840842723031265,4.840842723031265
82,8.076068608124348,4.893967298249306,4.893967298249306
83,7.907608854513215,4.563828119282045,4.563828119282045
84,8.003737912892271,4.733128200298304,4.733128200298304
85,8.115128516078148,4.659540081018519,4.659540081018519
86,7.115656162725041,4.486548940013648,4.486548940013648
87,6.875851803701899,3.9089840502726005,3.9089840502726005
88,7.412195097487917,5.63330398794503,5.63330398794503
89,8.551919586491142,6.391262685905801,6.391262685905801
90,7.569941931328694,4.570803362646958,4.570803362646958
91,7.0712233515112795,4.540635602505116,4.540635602505116
92,9.4733076754729,5.609671088829151,5.609671088829151
93,6.6939451120304785,4.292778199257919,4.292778199257919
94,7.378927664503671,4.617980239420722,4.617980239420722
95,7.613667002065953,5.141007261616643,5.141007261616643
96,7.29496086571043,5.088619868636626,5.088619868636626
97,8.125611501623803,4.53557426825337,4.53557426825337
98,8.110465504160722,5.69339111053255,5.69339111053255
99,8.018512568124759,5.320722977010114,5.320722977010114
