True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
84.0,3.0,208,7.429,1.4984385497408048,1.4550860899993514,4.1600379026937935
84.0,3.0,208,7.429,2.279540585967038,2.227282457103679,6.5588486743115215
84.0,3.0,208,7.429,1.6751391673259255,1.6349122995744498,4.882933806995509
84.0,3.0,208,7.429,1.2569876578833425,1.231482171663769,3.6766317451693307
84.0,3.0,208,7.429,2.049177959953141,2.0194264534509276,5.812571331343118
84.0,3.0,208,7.429,0.22517448138928273,0.2196093775188329,0.64307087652958
84.0,3.0,208,7.429,0.8396407156589245,0.8242799696721378,2.420400752206365
84.0,3.0,208,7.429,0.7834269668774204,0.7712877948925868,2.2550418887455517
84.0,3.0,208,7.429,1.538985897603219,1.5111958712176081,4.481756331029986
84.0,3.0,208,7.429,1.5569655451304643,1.5219573205560022,4.519901593734795
84.0,3.0,208,7.429,1.7132709774525456,1.677542118536771,4.953166253955144
84.0,3.0,208,7.429,2.2836228640326435,2.2288062522155005,6.522196759786846
84.0,3.0,208,7.429,2.5538988559897553,2.5068314630186217,7.199715978177626
84.0,3.0,208,7.429,2.1656770025793604,2.108038634550357,6.14439330216593
84.0,3.0,208,7.429,1.2994428790136436,1.2740641911483308,3.706018217997673
84.0,3.0,208,7.429,2.48141198664964,2.4330043567268564,7.060745448775897
84.0,3.0,208,7.429,1.757048918082585,1.7301469241196425,5.031417813025823
84.0,3.0,208,7.429,3.3600303242403626,3.292598510100461,9.558561684091618
84.0,3.0,208,7.429,2.794124300567109,2.738657767681549,7.965194277286814
84.0,3.0,208,7.429,1.8004219910687032,1.7715979901089784,5.124800700440691
84.0,3.0,208,7.429,1.7726177489008184,1.7400301471619128,5.110975519987844
84.0,3.0,208,7.429,0.9605984242740598,0.9410121519026675,2.7219708336342374
84.0,3.0,208,7.429,1.9962829356389846,1.9652717907704453,5.7853207142644525
84.0,3.0,208,7.429,0.7146560471372335,0.700703715889923,2.0172519259312724
84.0,3.0,208,7.429,2.2854435644568847,2.2394974397866054,6.409254780874867
84.0,3.0,208,7.429,0.13996952352859857,0.13700528096827178,0.40270976589160523
84.0,3.0,208,7.429,0.7770524763259953,0.7602900834941724,2.186853224871927
84.0,3.0,208,7.429,3.746791562156421,3.683626635192792,10.681968165222955
84.0,3.0,208,7.429,3.101676435094694,3.0396504187403486,8.99063781768773
84.0,3.0,208,7.429,3.3268485137879704,3.2641744072882344,9.406825189335034
84.0,3.0,208,7.429,0.17260024785765354,0.16947503569055358,0.499072733557995
84.0,3.0,208,7.429,0.4502466235052151,0.4416124612533724,1.3016335850025262
84.0,3.0,208,7.429,0.5037086454352715,0.49394393633413647,1.438666542236417
84.0,3.0,208,7.429,3.938073794256384,3.8852510992783023,11.043739984609413
84.0,3.0,208,7.429,4.42780951147841,4.345358312489604,12.494274442552424
84.0,3.0,208,7.429,4.688181253326136,4.605947147673976,13.304514300142369
84.0,3.0,208,7.429,4.679743389858256,4.599136804364471,13.66188417574865
84.0,3.0,208,7.429,4.152393904222051,4.090221897661525,11.69769299922978
84.0,3.0,208,7.429,4.3983132023481915,4.324935114113417,12.609898463763173
84.0,3.0,208,7.429,5.50572272832788,5.410099129674725,15.763156633130626
84.0,3.0,208,7.429,5.2124194018011405,5.126726870125369,14.634246409770137
84.0,3.0,208,7.429,4.058927579908129,3.9775856516666317,11.377105258060878
84.0,3.0,208,7.429,5.229487888189269,5.113011515332458,14.73232334952308
84.0,3.0,208,7.429,4.345279889652502,4.257565998509981,12.665507526809296
84.0,3.0,208,7.429,4.716777844191145,4.644517935718598,13.614156079818818
84.0,3.0,208,7.429,5.732982974851909,5.633192482747276,16.260466679713677
84.0,3.0,208,7.429,4.374512503735991,4.299496762038216,12.665933399123952
84.0,3.0,208,7.429,4.316586870416358,4.230592846622747,12.31725294625149
84.0,3.0,208,7.429,4.767367995444496,4.6952309735408715,13.763303396819541
84.0,3.0,208,7.429,6.028178273087421,5.876346588571987,17.238821782944203
84.0,3.0,208,7.429,5.942798077758004,5.8376112616153035,16.782184769106742
84.0,3.0,208,7.429,4.649853125185503,4.591733423271698,13.371357504128245
84.0,3.0,208,7.429,5.64068732122567,5.538238126301387,16.22734478941681
84.0,3.0,208,7.429,3.85094912156503,3.7686779647679827,10.947472541654415
84.0,3.0,208,7.429,4.564458458184601,4.484769283323523,13.022802740466139
84.0,3.0,208,7.429,5.7600803794276185,5.636534243266479,16.347470674935884
84.0,3.0,208,7.429,4.5363335392826825,4.437764387620612,12.637637343896408
84.0,3.0,208,7.429,4.85293412830562,4.78875568122085,14.099182196245465
84.0,3.0,208,7.429,5.253806555660671,5.149056444252005,15.153209455868156
84.0,3.0,208,7.429,5.932108531394192,5.831792007293517,16.882793896031462
84.0,3.0,208,7.429,4.936539523537977,4.847633146987517,14.230963728882658
84.0,3.0,208,7.429,4.047292520687275,3.9761165232481317,11.642269605481276
84.0,3.0,208,7.429,3.8947537986844036,3.8070886243233675,11.304757970292345
84.0,3.0,208,7.429,4.457248930070845,4.386729599126238,12.700490483616576
84.0,3.0,208,7.429,5.033390955691866,4.959736041848303,14.279739302258594
84.0,3.0,208,7.429,3.3348422536167397,3.2645738876054464,9.554005004661173
84.0,3.0,208,7.429,7.661449832747567,7.456931872645597,20
84.0,3.0,208,7.429,9.17068800514708,9.009733591191615,20
84.0,3.0,208,7.429,7.783729001547114,7.652870580530572,20
84.0,3.0,208,7.429,8.89630366756205,8.740964439740925,20
84.0,3.0,208,7.429,8.59272447570084,8.416703992314677,20
84.0,3.0,208,7.429,6.119409915540167,6.035372015671034,17.5484109785094
84.0,3.0,208,7.429,9.202490771294398,9.053139998787774,20
84.0,3.0,208,7.429,8.708751858985133,8.559142453376829,20
84.0,3.0,208,7.429,7.756599472928511,7.627659654728857,20
84.0,3.0,208,7.429,7.034859192038396,6.877633333089351,19.94278814760279
84.0,3.0,208,7.429,7.721921471038906,7.545930092375941,20
84.0,3.0,208,7.429,8.549257396575253,8.341512314236793,20
84.0,3.0,208,7.429,8.976005853554874,8.794928991941529,20
84.0,3.0,208,7.429,8.077949204654352,7.923659840533216,20
84.0,3.0,208,7.429,8.828930897974965,8.66371914226252,20
84.0,3.0,208,7.429,8.489550366144636,8.305141943054897,20
84.0,3.0,208,7.429,8.075969292713214,7.894955147428341,20
84.0,3.0,208,7.429,7.9076031330728425,7.741885549923215,20
84.0,3.0,208,7.429,8.003751348359506,7.820415145584489,20
84.0,3.0,208,7.429,8.11506501421495,7.938151257975872,20
84.0,3.0,208,7.429,7.115621411705112,6.964349507965211,20
84.0,3.0,208,7.429,6.875847858874166,6.781341488437277,19.51186799593493
84.0,3.0,208,7.429,7.41219230002382,7.2819367951954215,20
84.0,3.0,208,7.429,8.551820827782509,8.381228652950636,20
84.0,3.0,208,7.429,7.570049663959958,7.444766616443905,20
84.0,3.0,208,7.429,7.071235108418641,6.9363730563384545,20
84.0,3.0,208,7.429,9.473282011385349,9.264497655134043,20
84.0,3.0,208,7.429,6.693958347551518,6.554359221953507,19.158072414661913
84.0,3.0,208,7.429,7.378930348965102,7.255881931623655,20
84.0,3.0,208,7.429,7.6136050657021554,7.486395182364716,20
84.0,3.0,208,7.429,7.295109892985118,7.197715690374356,20
