True_C_S,True_Xi,Input_C_X,Input_Xi,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
1972.681,0.5,1300,0.33,7.115621411705112,6.964349507965211,9.51386711887667
1972.681,0.5,1300,0.33,6.875847858874166,6.781341488437277,9.246035683126566
1972.681,0.5,1300,0.33,7.41219230002382,7.2819367951954215,9.95612593588257
1972.681,0.5,1300,0.33,8.551820827782509,8.381228652950636,11.34618150532028
1972.681,0.5,1300,0.33,7.570049663959958,7.444766616443905,10.170038897486261
1972.681,0.5,1300,0.33,7.071235108418641,6.9363730563384545,9.484804304258887
1972.681,0.5,1300,0.33,9.473282011385349,9.264497655134043,12.739274395859061
1972.681,0.5,1300,0.33,6.693958347551518,6.554359221953507,8.864515009309251
1972.681,0.5,1300,0.33,7.378930348965102,7.255881931623655,9.845305362545284
1972.681,0.5,1300,0.33,7.6136050657021554,7.486395182364716,10.155320388503343
1972.681,0.5,1300,0.33,7.295109892985118,7.197715690374356,9.796282091448015
1972.681,0.5,1300,0.33,8.125610664303052,8.011181200499085,10.920764191954568
1972.681,0.5,1300,0.33,8.110604637190185,7.944716129611949,10.805200899317109
1972.681,0.5,1300,0.33,8.018554292995736,7.886599472946375,10.77495972362979
2761.754,0.7,1300,0.33,1.4984385497408048,1.4550860899993514,2.314660995387204
2761.754,0.7,1300,0.33,2.279540585967038,2.227282457103679,3.6902894122570347
2761.754,0.7,1300,0.33,1.6751391673259255,1.6349122995744498,2.651177217023427
2761.754,0.7,1300,0.33,1.2569876578833425,1.231482171663769,2.061586864385134
2761.754,0.7,1300,0.33,2.049177959953141,2.0194264534509276,3.422877157529703
2761.754,0.7,1300,0.33,0.22517448138928273,0.2196093775188329,0.3614546307441775
2761.754,0.7,1300,0.33,0.8396407156589245,0.8242799696721378,1.3450570857528132
2761.754,0.7,1300,0.33,0.7834269668774204,0.7712877948925868,1.2775637817910097
2761.754,0.7,1300,0.33,1.538985897603219,1.5111958712176081,2.531670709002129
2761.754,0.7,1300,0.33,1.5569655451304643,1.5219573205560022,2.5121435658373032
2761.754,0.7,1300,0.33,1.7132709774525456,1.677542118536771,2.727478331272618
2761.754,0.7,1300,0.33,2.2836228640326435,2.2288062522155005,3.596982853502034
2761.754,0.7,1300,0.33,2.5538988559897553,2.5068314630186217,4.056430192101338
2761.754,0.7,1300,0.33,2.1656770025793604,2.108038634550357,3.3968506642672196
2761.754,0.7,1300,0.33,1.2994428790136436,1.2740641911483308,2.070346473571125
2761.754,0.7,1300,0.33,2.48141198664964,2.4330043567268564,3.9947943566731903
2761.754,0.7,1300,0.33,1.757048918082585,1.7301469241196425,2.8249059128780605
2761.754,0.7,1300,0.33,3.3600303242403626,3.292598510100461,5.462525213645466
2761.754,0.7,1300,0.33,2.794124300567109,2.738657767681549,4.445324595339058
2761.754,0.7,1300,0.33,1.8004219910687032,1.7715979901089784,2.8915789683650037
2761.754,0.7,1300,0.33,1.7726177489008184,1.7400301471619128,2.8631537064529633
2761.754,0.7,1300,0.33,0.9605984242740598,0.9410121519026675,1.503334688128369
2761.754,0.7,1300,0.33,1.9962829356389846,1.9652717907704453,3.325376173813068
2761.754,0.7,1300,0.33,0.7146560471372335,0.700703715889923,1.1530306740236476
2761.754,0.7,1300,0.33,2.2854435644568847,2.2394974397866054,3.673242467860424
2761.754,0.7,1300,0.33,0.13996952352859857,0.13700528096827178,0.22521771246638148
2761.754,0.7,1300,0.33,0.7770524763259953,0.7602900834941724,1.2449012014165048
2761.754,0.7,1300,0.33,3.746791562156421,3.683626635192792,6.06697519582292
2761.754,0.7,1300,0.33,3.101676435094694,3.0396504187403486,4.936594400256886
2761.754,0.7,1300,0.33,3.3268485137879704,3.2641744072882344,5.333738086164254
2761.754,0.7,1300,0.33,0.17260024785765354,0.16947503569055358,0.28162306697061057
2761.754,0.7,1300,0.33,0.4502466235052151,0.4416124612533724,0.710558576082389
2761.754,0.7,1300,0.33,0.5037086454352715,0.49394393633413647,0.8065295270705839
2761.754,0.7,1300,0.33,3.938073794256384,3.8852510992783023,6.323221006576299
2761.754,0.7,1300,0.33,4.42780951147841,4.345358312489604,7.107244950932658
2761.754,0.7,1300,0.33,4.688181253326136,4.605947147673976,7.611932101750753
2761.754,0.7,1300,0.33,4.679743389858256,4.599136804364471,7.490225752808089
2761.754,0.7,1300,0.33,4.152393904222051,4.090221897661525,6.795595560140655
2761.754,0.7,1300,0.33,4.3983132023481915,4.324935114113417,7.247903305629159
2761.754,0.7,1300,0.33,5.50572272832788,5.410099129674725,9.123458191477953
