True_M_U,True_M_S_M_U_Ratio,Input_M_U,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
69.333,3.0,28,7.429,1.4984385497408048,1.4550860899993514,2.0659229074668723
69.333,3.0,28,7.429,2.279540585967038,2.227282457103679,3.1290721533745853
69.333,3.0,28,7.429,1.6751391673259255,1.6349122995744498,2.32434837584271
69.333,3.0,28,7.429,1.2569876578833425,1.231482171663769,1.6651692737599817
69.333,3.0,28,7.429,2.049177959953141,2.0194264534509276,2.9958185038818588
69.333,3.0,28,7.429,0.22517448138928273,0.2196093775188329,0.30317702811587566
69.333,3.0,28,7.429,0.8396407156589245,0.8242799696721378,1.186427438064804
69.333,3.0,28,7.429,0.7834269668774204,0.7712877948925868,1.0838851756920582
69.333,3.0,28,7.429,1.538985897603219,1.5111958712176081,2.094898929471502
69.333,3.0,28,7.429,1.5569655451304643,1.5219573205560022,2.280929072820357
69.333,3.0,28,7.429,1.7132709774525456,1.677542118536771,2.2890579047598965
69.333,3.0,28,7.429,2.2836228640326435,2.2288062522155005,2.9687034641827177
69.333,3.0,28,7.429,2.5538988559897553,2.5068314630186217,3.4138091780065745
69.333,3.0,28,7.429,2.1656770025793604,2.108038634550357,2.980777869437784
69.333,3.0,28,7.429,1.2994428790136436,1.2740641911483308,1.7201132952850184
69.333,3.0,28,7.429,2.48141198664964,2.4330043567268564,3.373161494238122
69.333,3.0,28,7.429,1.757048918082585,1.7301469241196425,2.4161097745764395
69.333,3.0,28,7.429,3.3600303242403626,3.292598510100461,4.423772479923877
69.333,3.0,28,7.429,2.794124300567109,2.738657767681549,3.828832194735073
69.333,3.0,28,7.429,1.8004219910687032,1.7715979901089784,2.4620822761242094
69.333,3.0,28,7.429,1.7726177489008184,1.7400301471619128,2.421077673250066
69.333,3.0,28,7.429,0.9605984242740598,0.9410121519026675,1.2855004310192262
69.333,3.0,28,7.429,1.9962829356389846,1.9652717907704453,2.781314991235957
69.333,3.0,28,7.429,0.7146560471372335,0.700703715889923,0.9963421929659708
69.333,3.0,28,7.429,2.2854435644568847,2.2394974397866054,3.1655147032296194
69.333,3.0,28,7.429,0.13996952352859857,0.13700528096827178,0.18948931174083872
69.333,3.0,28,7.429,0.7770524763259953,0.7602900834941724,1.0659723081696424
69.333,3.0,28,7.429,3.746791562156421,3.683626635192792,5.315927530591291
69.333,3.0,28,7.429,3.101676435094694,3.0396504187403486,4.189954330206403
69.333,3.0,28,7.429,3.3268485137879704,3.2641744072882344,4.501831656815082
69.333,3.0,28,7.429,0.17260024785765354,0.16947503569055358,0.2487212174115029
69.333,3.0,28,7.429,0.4502466235052151,0.4416124612533724,0.6133548320554028
69.333,3.0,28,7.429,0.5037086454352715,0.49394393633413647,0.7179096811541416
69.333,3.0,28,7.429,3.938073794256384,3.8852510992783023,5.6928827014843835
69.333,3.0,28,7.429,4.42780951147841,4.345358312489604,6.158200231244257
69.333,3.0,28,7.429,4.688181253326136,4.605947147673976,6.358224861732144
69.333,3.0,28,7.429,4.679743389858256,4.599136804364471,6.470425184058612
69.333,3.0,28,7.429,4.152393904222051,4.090221897661525,5.715844636799969
69.333,3.0,28,7.429,4.3983132023481915,4.324935114113417,6.064264561137083
69.333,3.0,28,7.429,5.50572272832788,5.410099129674725,7.750101376957974
69.333,3.0,28,7.429,5.2124194018011405,5.126726870125369,7.097988116310647
69.333,3.0,28,7.429,4.058927579908129,3.9775856516666317,5.5829704844744334
69.333,3.0,28,7.429,5.229487888189269,5.113011515332458,7.411495314685092
69.333,3.0,28,7.429,4.345279889652502,4.257565998509981,5.956546139713153
69.333,3.0,28,7.429,4.716777844191145,4.644517935718598,6.397169004122137
69.333,3.0,28,7.429,5.732982974851909,5.633192482747276,7.999047469216946
69.333,3.0,28,7.429,4.374512503735991,4.299496762038216,5.882643512000178
69.333,3.0,28,7.429,4.316586870416358,4.230592846622747,5.8298233243750595
69.333,3.0,28,7.429,4.767367995444496,4.6952309735408715,6.606132898942103
69.333,3.0,28,7.429,6.028178273087421,5.876346588571987,8.532998052006604
69.333,3.0,28,7.429,5.942798077758004,5.8376112616153035,8.254357185809596
69.333,3.0,28,7.429,4.649853125185503,4.591733423271698,6.310655004426879
69.333,3.0,28,7.429,5.64068732122567,5.538238126301387,7.632673921721014
69.333,3.0,28,7.429,3.85094912156503,3.7686779647679827,4.9771870665665805
69.333,3.0,28,7.429,4.564458458184601,4.484769283323523,6.538763844286423
69.333,3.0,28,7.429,5.7600803794276185,5.636534243266479,7.897913015890572
69.333,3.0,28,7.429,4.5363335392826825,4.437764387620612,6.139089202721141
69.333,3.0,28,7.429,4.85293412830562,4.78875568122085,6.314736111651235
69.333,3.0,28,7.429,5.253806555660671,5.149056444252005,7.2020698303071224
69.333,3.0,28,7.429,5.932108531394192,5.831792007293517,8.56488849978734
69.333,3.0,28,7.429,4.936539523537977,4.847633146987517,7.106393290935185
69.333,3.0,28,7.429,4.047292520687275,3.9761165232481317,5.735427898673941
69.333,3.0,28,7.429,3.8947537986844036,3.8070886243233675,5.161545489916997
69.333,3.0,28,7.429,4.457248930070845,4.386729599126238,6.142988855317058
69.333,3.0,28,7.429,5.033390955691866,4.959736041848303,6.789898104399105
69.333,3.0,28,7.429,3.3348422536167397,3.2645738876054464,4.444093363354507
69.333,3.0,28,7.429,7.661449832747567,7.456931872645597,10.13638283485198
69.333,3.0,28,7.429,9.17068800514708,9.009733591191615,13.13455289196879
69.333,3.0,28,7.429,7.783729001547114,7.652870580530572,10.523640956974992
69.333,3.0,28,7.429,8.89630366756205,8.740964439740925,12.189001790876782
69.333,3.0,28,7.429,8.59272447570084,8.416703992314677,12.487165539021493
69.333,3.0,28,7.429,6.119409915540167,6.035372015671034,8.647052209228352
69.333,3.0,28,7.429,9.202490771294398,9.053139998787774,13.547827425304876
69.333,3.0,28,7.429,8.708751858985133,8.559142453376829,11.808271473873393
69.333,3.0,28,7.429,7.756599472928511,7.627659654728857,11.247360571755467
69.333,3.0,28,7.429,7.034859192038396,6.877633333089351,9.110425330493227
69.333,3.0,28,7.429,7.721921471038906,7.545930092375941,11.26222718029483
69.333,3.0,28,7.429,8.549257396575253,8.341512314236793,11.453665947246195
69.333,3.0,28,7.429,8.976005853554874,8.794928991941529,11.813223386637741
69.333,3.0,28,7.429,8.077949204654352,7.923659840533216,11.607681609943233
69.333,3.0,28,7.429,8.828930897974965,8.66371914226252,12.136180937452972
69.333,3.0,28,7.429,8.489550366144636,8.305141943054897,11.838467012970282
69.333,3.0,28,7.429,8.075969292713214,7.894955147428341,11.499147816312279
69.333,3.0,28,7.429,7.9076031330728425,7.741885549923215,10.805884029765423
69.333,3.0,28,7.429,8.003751348359506,7.820415145584489,10.939411629549976
69.333,3.0,28,7.429,8.11506501421495,7.938151257975872,10.969895431748975
69.333,3.0,28,7.429,7.115621411705112,6.964349507965211,9.799975106126597
69.333,3.0,28,7.429,6.875847858874166,6.781341488437277,9.52424617198468
69.333,3.0,28,7.429,7.41219230002382,7.2819367951954215,9.992274738668167
69.333,3.0,28,7.429,8.551820827782509,8.381228652950636,11.982379342962224
69.333,3.0,28,7.429,7.570049663959958,7.444766616443905,9.708989523291626
69.333,3.0,28,7.429,7.071235108418641,6.9363730563384545,9.680254970136614
69.333,3.0,28,7.429,9.473282011385349,9.264497655134043,13.029222469466704
69.333,3.0,28,7.429,6.693958347551518,6.554359221953507,8.965001875618714
69.333,3.0,28,7.429,7.378930348965102,7.255881931623655,9.528947959789559
