True_K_S,True_K_S_Ratio,Input_K_S,Input_K_S_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
7227.57,0.3,18709,0.483,3.3268485137879704,3.2641744072882344,3.474030009695605
7227.57,0.3,18709,0.483,0.17260024785765354,0.16947503569055358,0.18333918191901058
7227.57,0.3,18709,0.483,0.4502466235052151,0.4416124612533724,0.4860551069121551
7227.57,0.3,18709,0.483,0.5037086454352715,0.49394393633413647,0.536777717146777
7227.57,0.3,18709,0.483,3.938073794256384,3.8852510992783023,4.048988562649298
7227.57,0.3,18709,0.483,4.42780951147841,4.345358312489604,4.516036443509803
7227.57,0.3,18709,0.483,4.688181253326136,4.605947147673976,4.921052266473964
7227.57,0.3,18709,0.483,4.679743389858256,4.599136804364471,5.0851807623628575
7227.57,0.3,18709,0.483,4.152393904222051,4.090221897661525,4.277525910159341
7227.57,0.3,18709,0.483,4.3983132023481915,4.324935114113417,4.510910808949603
7227.57,0.3,18709,0.483,5.50572272832788,5.410099129674725,5.7367229525074
7227.57,0.3,18709,0.483,5.2124194018011405,5.126726870125369,5.45742836891483
7227.57,0.3,18709,0.483,4.058927579908129,3.9775856516666317,4.25994427370751
7227.57,0.3,18709,0.483,5.229487888189269,5.113011515332458,5.413435370243932
7227.57,0.3,18709,0.483,4.345279889652502,4.257565998509981,4.7138666449864415
7227.57,0.3,18709,0.483,4.716777844191145,4.644517935718598,4.906103569970004
7227.57,0.3,18709,0.483,5.732982974851909,5.633192482747276,5.993578420646445
7227.57,0.3,18709,0.483,4.374512503735991,4.299496762038216,4.607327608393306
7227.57,0.3,18709,0.483,4.316586870416358,4.230592846622747,4.501603388049741
7227.57,0.3,18709,0.483,4.767367995444496,4.6952309735408715,4.978222329601577
7227.57,0.3,18709,0.483,6.028178273087421,5.876346588571987,6.423851241912645
7227.57,0.3,18709,0.483,5.942798077758004,5.8376112616153035,6.175677252070263
7227.57,0.3,18709,0.483,4.649853125185503,4.591733423271698,4.867361510870581
7227.57,0.3,18709,0.483,5.64068732122567,5.538238126301387,6.017437853732929
7227.57,0.3,18709,0.483,3.85094912156503,3.7686779647679827,3.9106524452039704
7227.57,0.3,18709,0.483,4.564458458184601,4.484769283323523,4.688038189087627
7227.57,0.3,18709,0.483,5.7600803794276185,5.636534243266479,5.979549715763703
7227.57,0.3,18709,0.483,4.5363335392826825,4.437764387620612,4.7870861445634825
7227.57,0.3,18709,0.483,4.85293412830562,4.78875568122085,5.11858306578386
7227.57,0.3,18709,0.483,5.253806555660671,5.149056444252005,5.58340697546387
7227.57,0.3,18709,0.483,5.932108531394192,5.831792007293517,6.17618994876647
7227.57,0.3,18709,0.483,4.936539523537977,4.847633146987517,5.1785011258425175
7227.57,0.3,18709,0.483,4.047292520687275,3.9761165232481317,4.280141269909946
7227.57,0.3,18709,0.483,3.8947537986844036,3.8070886243233675,4.18394235241184
7227.57,0.3,18709,0.483,4.457248930070845,4.386729599126238,4.674193646333308
7227.57,0.3,18709,0.483,5.033390955691866,4.959736041848303,5.194864463062089
7227.57,0.3,18709,0.483,3.3348422536167397,3.2645738876054464,3.5478393261110726
7227.57,0.3,18709,0.483,7.661449832747567,7.456931872645597,8.145686816553372
7227.57,0.3,18709,0.483,9.17068800514708,9.009733591191615,9.37505943644177
7227.57,0.3,18709,0.483,7.783729001547114,7.652870580530572,8.208166443200213
7227.57,0.3,18709,0.483,8.89630366756205,8.740964439740925,9.003903602641405
7227.57,0.3,18709,0.483,8.59272447570084,8.416703992314677,9.014255500625595
7227.57,0.3,18709,0.483,6.119409915540167,6.035372015671034,6.38419327587243
7227.57,0.3,18709,0.483,9.202490771294398,9.053139998787774,9.817089098934384
7227.57,0.3,18709,0.483,8.708751858985133,8.559142453376829,9.189962249402484
7227.57,0.3,18709,0.483,7.756599472928511,7.627659654728857,8.19825504253791
7227.57,0.3,18709,0.483,7.034859192038396,6.877633333089351,7.336864276823114
7227.57,0.3,18709,0.483,7.721921471038906,7.545930092375941,8.102460075367128
7227.57,0.3,18709,0.483,8.549257396575253,8.341512314236793,8.969538529700682
7227.57,0.3,18709,0.483,8.976005853554874,8.794928991941529,9.188014427398528
7227.57,0.3,18709,0.483,8.077949204654352,7.923659840533216,8.297048739225318
7227.57,0.3,18709,0.483,8.828930897974965,8.66371914226252,9.272573632940535
7227.57,0.3,18709,0.483,8.489550366144636,8.305141943054897,8.903000841025385
7227.57,0.3,18709,0.483,8.075969292713214,7.894955147428341,8.46398764230376
7227.57,0.3,18709,0.483,7.9076031330728425,7.741885549923215,8.270152810852561
7227.57,0.3,18709,0.483,8.003751348359506,7.820415145584489,8.467306024934244
7227.57,0.3,18709,0.483,8.11506501421495,7.938151257975872,8.710361789354522
7227.57,0.3,18709,0.483,7.115621411705112,6.964349507965211,7.694721067759524
7227.57,0.3,18709,0.483,6.875847858874166,6.781341488437277,7.1065928746018745
7227.57,0.3,18709,0.483,7.41219230002382,7.2819367951954215,7.682991132934842
7227.57,0.3,18709,0.483,8.551820827782509,8.381228652950636,8.797621135593252
7227.57,0.3,18709,0.483,7.570049663959958,7.444766616443905,8.251454039697638
7227.57,0.3,18709,0.483,7.071235108418641,6.9363730563384545,7.357617761342842
7227.57,0.3,18709,0.483,9.473282011385349,9.264497655134043,9.847898713806503
7227.57,0.3,18709,0.483,6.693958347551518,6.554359221953507,7.144409021842648
7227.57,0.3,18709,0.483,7.378930348965102,7.255881931623655,7.756831414386262
7227.57,0.3,18709,0.483,7.6136050657021554,7.486395182364716,7.961768203757509
7227.57,0.3,18709,0.483,7.295109892985118,7.197715690374356,7.6872757729000964
7227.57,0.3,18709,0.483,8.125610664303052,8.011181200499085,8.714996989145607
7227.57,0.3,18709,0.483,8.110604637190185,7.944716129611949,8.131262610281834
7227.57,0.3,18709,0.483,8.018554292995736,7.886599472946375,8.22895122711192
12849.013,0.4,18709,0.483,1.4984385497408048,1.4550860899993514,1.5632791097145489
12849.013,0.4,18709,0.483,2.279540585967038,2.227282457103679,2.4044445704337942
12849.013,0.4,18709,0.483,1.6751391673259255,1.6349122995744498,1.7970083349160881
12849.013,0.4,18709,0.483,1.2569876578833425,1.231482171663769,1.3357283267610272
12849.013,0.4,18709,0.483,2.049177959953141,2.0194264534509276,2.105701336940145
12849.013,0.4,18709,0.483,0.22517448138928273,0.2196093775188329,0.23780820164857644
12849.013,0.4,18709,0.483,0.8396407156589245,0.8242799696721378,0.8876091480119881
12849.013,0.4,18709,0.483,0.7834269668774204,0.7712877948925868,0.8255015362760777
12849.013,0.4,18709,0.483,1.538985897603219,1.5111958712176081,1.6209802671888032
12849.013,0.4,18709,0.483,1.5569655451304643,1.5219573205560022,1.6638171642179949
12849.013,0.4,18709,0.483,1.7132709774525456,1.677542118536771,1.845836644755138
12849.013,0.4,18709,0.483,2.2836228640326435,2.2288062522155005,2.4256595540172725
12849.013,0.4,18709,0.483,2.5538988559897553,2.5068314630186217,2.6705561175754844
12849.013,0.4,18709,0.483,2.1656770025793604,2.108038634550357,2.302689949050318
12849.013,0.4,18709,0.483,1.2994428790136436,1.2740641911483308,1.3731724263512954
12849.013,0.4,18709,0.483,2.48141198664964,2.4330043567268564,2.6131733792175447
12849.013,0.4,18709,0.483,1.757048918082585,1.7301469241196425,1.8494269763597784
12849.013,0.4,18709,0.483,3.3600303242403626,3.292598510100461,3.4928587551573522
12849.013,0.4,18709,0.483,2.794124300567109,2.738657767681549,2.959290266893264
12849.013,0.4,18709,0.483,1.8004219910687032,1.7715979901089784,1.901964075195344
12849.013,0.4,18709,0.483,1.7726177489008184,1.7400301471619128,1.9000374267051254
12849.013,0.4,18709,0.483,0.9605984242740598,0.9410121519026675,1.014705559013857
12849.013,0.4,18709,0.483,1.9962829356389846,1.9652717907704453,2.1017634921746735
12849.013,0.4,18709,0.483,0.7146560471372335,0.700703715889923,0.7417739972176158
12849.013,0.4,18709,0.483,2.2854435644568847,2.2394974397866054,2.3539207722290776
12849.013,0.4,18709,0.483,0.13996952352859857,0.13700528096827178,0.14892450421472103
12849.013,0.4,18709,0.483,0.7770524763259953,0.7602900834941724,0.8110288172705392
12849.013,0.4,18709,0.483,3.746791562156421,3.683626635192792,3.955070504133654
12849.013,0.4,18709,0.483,3.101676435094694,3.0396504187403486,3.344546987025334
12849.013,0.4,18709,0.483,3.3268485137879704,3.2641744072882344,3.4945027989669217
12849.013,0.4,18709,0.483,0.17260024785765354,0.16947503569055358,0.18252727477194064
12849.013,0.4,18709,0.483,0.4502466235052151,0.4416124612533724,0.484883744353156
12849.013,0.4,18709,0.483,0.5037086454352715,0.49394393633413647,0.5351158089812567
12849.013,0.4,18709,0.483,3.938073794256384,3.8852510992783023,4.086820452398933
12849.013,0.4,18709,0.483,4.42780951147841,4.345358312489604,4.569785487017701
12849.013,0.4,18709,0.483,4.688181253326136,4.605947147673976,4.938142758692029
12849.013,0.4,18709,0.483,4.679743389858256,4.599136804364471,5.053179346128448
12849.013,0.4,18709,0.483,4.152393904222051,4.090221897661525,4.326694103154555
12849.013,0.4,18709,0.483,4.3983132023481915,4.324935114113417,4.535406480618997
12849.013,0.4,18709,0.483,5.50572272832788,5.410099129674725,5.739101523435803
12849.013,0.4,18709,0.483,5.2124194018011405,5.126726870125369,5.4830046103872405
12849.013,0.4,18709,0.483,4.058927579908129,3.9775856516666317,4.284652479823583
12849.013,0.4,18709,0.483,5.229487888189269,5.113011515332458,5.448171324414206
12849.013,0.4,18709,0.483,4.345279889652502,4.257565998509981,4.697004501686401
12849.013,0.4,18709,0.483,4.716777844191145,4.644517935718598,4.890955375636134
12849.013,0.4,18709,0.483,5.732982974851909,5.633192482747276,5.997250957612198
12849.013,0.4,18709,0.483,4.374512503735991,4.299496762038216,4.6225834126709175
12849.013,0.4,18709,0.483,4.316586870416358,4.230592846622747,4.505346216217117
12849.013,0.4,18709,0.483,4.767367995444496,4.6952309735408715,4.995404261375303
12849.013,0.4,18709,0.483,6.028178273087421,5.876346588571987,6.400784637371173
12849.013,0.4,18709,0.483,5.942798077758004,5.8376112616153035,6.180195912533112
12849.013,0.4,18709,0.483,4.649853125185503,4.591733423271698,4.8866967277003575
12849.013,0.4,18709,0.483,5.64068732122567,5.538238126301387,6.028639132294559
12849.013,0.4,18709,0.483,3.85094912156503,3.7686779647679827,3.9640295116819386
12849.013,0.4,18709,0.483,4.564458458184601,4.484769283323523,4.7036268136923125
12849.013,0.4,18709,0.483,5.7600803794276185,5.636534243266479,6.00460349966444
12849.013,0.4,18709,0.483,4.5363335392826825,4.437764387620612,4.817835952514026
12849.013,0.4,18709,0.483,4.85293412830562,4.78875568122085,5.131861936499755
12849.013,0.4,18709,0.483,5.253806555660671,5.149056444252005,5.592311111168291
12849.013,0.4,18709,0.483,5.932108531394192,5.831792007293517,6.169140749985659
12849.013,0.4,18709,0.483,4.936539523537977,4.847633146987517,5.164827680261708
12849.013,0.4,18709,0.483,4.047292520687275,3.9761165232481317,4.268699331121365
12849.013,0.4,18709,0.483,3.8947537986844036,3.8070886243233675,4.180562603616278
12849.013,0.4,18709,0.483,4.457248930070845,4.386729599126238,4.673227486098653
12849.013,0.4,18709,0.483,5.033390955691866,4.959736041848303,5.217461129672141
12849.013,0.4,18709,0.483,3.3348422536167397,3.2645738876054464,3.5570287121637447
12849.013,0.4,18709,0.483,7.661449832747567,7.456931872645597,8.11632283792773
12849.013,0.4,18709,0.483,9.17068800514708,9.009733591191615,9.423778295956554
12849.013,0.4,18709,0.483,7.783729001547114,7.652870580530572,8.257372927827957
