True_K_U,True_K_U_Ratio,Input_K_U,Input_K_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
43241.87,2.0,127200,3.43,6.028178273087421,5.876346588571987,3.955403836237018
43241.87,2.0,127200,3.43,5.942798077758004,5.8376112616153035,3.880771051146471
43241.87,2.0,127200,3.43,4.649853125185503,4.591733423271698,3.1065407125546733
43241.87,2.0,127200,3.43,5.64068732122567,5.538238126301387,3.5923482389745502
43241.87,2.0,127200,3.43,3.85094912156503,3.7686779647679827,2.5861300405827197
43241.87,2.0,127200,3.43,4.564458458184601,4.484769283323523,3.0301186121576227
43241.87,2.0,127200,3.43,5.7600803794276185,5.636534243266479,3.813993014510553
43241.87,2.0,127200,3.43,4.5363335392826825,4.437764387620612,2.9215648771549376
43241.87,2.0,127200,3.43,4.85293412830562,4.78875568122085,3.179532826282968
43241.87,2.0,127200,3.43,5.253806555660671,5.149056444252005,3.363204737871867
43241.87,2.0,127200,3.43,5.932108531394192,5.831792007293517,3.873060931463066
43241.87,2.0,127200,3.43,4.936539523537977,4.847633146987517,3.3075891291525785
43241.87,2.0,127200,3.43,4.047292520687275,3.9761165232481317,2.658651094714184
43241.87,2.0,127200,3.43,3.8947537986844036,3.8070886243233675,2.499459125607605
43241.87,2.0,127200,3.43,4.457248930070845,4.386729599126238,2.9916967206784
43241.87,2.0,127200,3.43,5.033390955691866,4.959736041848303,3.407860585838812
43241.87,2.0,127200,3.43,3.3348422536167397,3.2645738876054464,2.072641316855765
43241.87,2.0,127200,3.43,7.661449832747567,7.456931872645597,4.785837267193506
43241.87,2.0,127200,3.43,9.17068800514708,9.009733591191615,6.229057087643706
43241.87,2.0,127200,3.43,7.783729001547114,7.652870580530572,5.1945823917513225
43241.87,2.0,127200,3.43,8.89630366756205,8.740964439740925,6.153568377013734
43241.87,2.0,127200,3.43,8.59272447570084,8.416703992314677,5.5891072994746915
43241.87,2.0,127200,3.43,6.119409915540167,6.035372015671034,4.007597820366022
43241.87,2.0,127200,3.43,9.202490771294398,9.053139998787774,6.058066549236558
43241.87,2.0,127200,3.43,8.708751858985133,8.559142453376829,5.599510601737149
43241.87,2.0,127200,3.43,7.756599472928511,7.627659654728857,4.981367214687372
43241.87,2.0,127200,3.43,7.034859192038396,6.877633333089351,4.727996679590477
43241.87,2.0,127200,3.43,7.721921471038906,7.545930092375941,5.047745285829671
43241.87,2.0,127200,3.43,8.549257396575253,8.341512314236793,5.7525218809946566
43241.87,2.0,127200,3.43,8.976005853554874,8.794928991941529,6.087088311029323
43241.87,2.0,127200,3.43,8.077949204654352,7.923659840533216,5.3992841827850215
43241.87,2.0,127200,3.43,8.828930897974965,8.66371914226252,5.901260002565437
43241.87,2.0,127200,3.43,8.489550366144636,8.305141943054897,5.680518718859127
43241.87,2.0,127200,3.43,8.075969292713214,7.894955147428341,5.1274953837917945
43241.87,2.0,127200,3.43,7.9076031330728425,7.741885549923215,5.20456242224866
43241.87,2.0,127200,3.43,8.003751348359506,7.820415145584489,5.24883902462337
43241.87,2.0,127200,3.43,8.11506501421495,7.938151257975872,5.2478913514632834
43241.87,2.0,127200,3.43,7.115621411705112,6.964349507965211,4.608399417644394
43241.87,2.0,127200,3.43,6.875847858874166,6.781341488437277,4.635224814400212
43241.87,2.0,127200,3.43,7.41219230002382,7.2819367951954215,5.180526647844061
43241.87,2.0,127200,3.43,8.551820827782509,8.381228652950636,5.852127429434073
43241.87,2.0,127200,3.43,7.570049663959958,7.444766616443905,4.716910777347503
43241.87,2.0,127200,3.43,7.071235108418641,6.9363730563384545,4.658586824756349
43241.87,2.0,127200,3.43,9.473282011385349,9.264497655134043,6.2399287707552995
43241.87,2.0,127200,3.43,6.693958347551518,6.554359221953507,4.431649720225212
43241.87,2.0,127200,3.43,7.378930348965102,7.255881931623655,4.80448441485515
43241.87,2.0,127200,3.43,7.6136050657021554,7.486395182364716,5.2711893409751625
43241.87,2.0,127200,3.43,7.295109892985118,7.197715690374356,4.818347431644643
43241.87,2.0,127200,3.43,8.125610664303052,8.011181200499085,5.222245075263192
